Hide Paper (yes/no/sched/proc)	Day Date	Ses Title	Ses Code	Ses Time	Ses End Time	Ses Room	Ses Chair	Ses Chair Aff	Ses CoChair	Ses CoChair Aff	Pap ID	Pap Title (IGNORED)	Pap Track (IGNORED)	Pap Status (IGNORED)	Pap Presenter	Pap Time	Pap End Time	Pap Subcode	Pap Flag	Gen Title	Gen Presenter	Gen Time	Gen End Time	Gen Subcode
no	Tuesday, November 1, 2016																							
no		Welcome Reception		18:30	20:00	Salon H																		
no	Wednesday, November 2, 2016																							
no		Registration Day 1		07:30	17:30	Salon H Prefunction																		
no																				Morning Coffee		08:00	08:40	
no		Plenary Session I	P1	08:40	10:00	Salon FG																		
no																				Opening Remarks and Introductory Speeches		08:40	09:00	
no																				Invited Talk: Learning in extended and approximate Rational Speech Acts models	Christopher Potts %u http://www.emnlp2016.net/invited-speakers.html#i1	09:00	10:00	
no																				Coffee Break		10:00	10:30	
no		Parsing and Syntax	1A	10:30	12:10	Salon FG	TBD																	
no											1162	Span-Based Constituency Parsing with a Structure-Label System and Provably Optimal Dynamic Oracles (IGNORED)	Segmentation, Tagging and Parsing: Long Papers:(IGNORED)	Accept Oral(IGNORED)	(.)	10:30	10:55	(.)	(.)					
no											945	Rule Extraction for Tree-to-Tree Transducers by Cost Minimization (IGNORED)	Segmentation, Tagging and Parsing: Long Papers:(IGNORED)	Accept Oral(IGNORED)	(.)	10:55	11:20	(.)	(.)					
no											585	A Neural Network for Coordination Boundary Prediction (IGNORED)	Segmentation, Tagging and Parsing: Long Papers:(IGNORED)	Accept Oral(IGNORED)	(.)	11:20	11:45	(.)	(.)					
no											1212	Using Left-corner Parsing to Encode Universal Structural Constraints in Grammar Induction (IGNORED)	Segmentation, Tagging and Parsing: Long Papers:(IGNORED)	Accept Oral(IGNORED)	(.)	11:45	12:10	(.)	(.)					
no		Information Extraction	1B	10:30	12:10	Salon J	TBD																	
no											985	Distinguishing Past, On-going, and Future Events: The EventStatus Corpus (IGNORED)	Information Extraction, Information Retrieval and Question Answering: Long Papers:(IGNORED)	Accept Oral(IGNORED)	(.)	10:30	10:55	(.)	(.)					
no											57	Nested Propositions in Open Information Extraction (IGNORED)	Information Extraction, Information Retrieval and Question Answering: Long Papers:(IGNORED)	Accept Oral(IGNORED)	(.)	10:55	11:20	(.)	(.)					
